,KR,WT,WT450,WT460
h_KR_234_1_clean,1,0,0,0
h_KR_234_2_clean,1,0,0,0
h_KR_234_3_clean,1,0,0,0
h_KR_234_4_clean,1,0,0,0
h_KR_26_1_clean,1,0,0,0
h_KR_26_2_clean,1,0,0,0
h_KR_26_4_clean,1,0,0,0
h_KR_274_1_clean,1,0,0,0
h_KR_274_3_clean,1,0,0,0
h_KR_274_4_clean,1,0,0,0
h_KR_365_1_clean,1,0,0,0
h_KR_365_2_clean,1,0,0,0
h_KR_365_3_clean,1,0,0,0
h_KR_365_4_clean,1,0,0,0
h_KR_692_1_clean,1,0,0,0
h_KR_692_2_clean,1,0,0,0
h_KR_692_3_clean,1,0,0,0
h_KR_692_4_clean,1,0,0,0
h_KR_76_1_clean,1,0,0,0
h_KR_76_2_clean,1,0,0,0
h_KR_76_4_clean,1,0,0,0
h_WT_1_clean,0,1,0,0
h_WT_2_clean,0,1,0,0
h_WT_3_clean,0,1,0,0
h_WT_4_clean,0,1,0,0
h_WT_450_1_clean,0,0,1,0
h_WT_450_2_clean,0,0,1,0
h_WT_450_3_clean,0,0,1,0
h_WT_450_4_clean,0,0,1,0
h_WT_460_1_clean,0,0,0,1
h_WT_460_2_clean,0,0,0,1
h_WT_460_3_clean,0,0,0,1
h_WT_460_4_clean,0,0,0,1
